ticker,p-value,h
POL,0.2643889977948102,0.5509404813499081
POOL,0.37260646679441534,0.7996466332433619
PTBS,0.9404060132011162,0.73940901939675
POWI,0.0895245024201437,0.6655265309991772
APTS,0.8237134187599826,0.6334128098949994
PFBC,0.6995239680422373,0.6709606268650284
PRI,0.7138509312092081,0.7530480366009515
PRIM,0.16446478658627833,0.49949456575331486
PLD,0.2423993636482677,0.7688648832171282
PROV,0.4000390708253555,0.5827458703936016
PFS,0.8040857418832575,0.5789557473239796
PSB,0.6369193521638469,0.7716663684026234
PEG,0.4487365944453167,0.6209178141534965
QNBC,0.9657025330549079,0.6956238532086018
QTS,0.15444581844897892,0.555205300455263
DGX,0.6893903977165228,0.647817288075388
RJF,0.6578019911330183,0.6603917273309728
RMAX,0.6489531211861402,0.6415383130465525
REG,0.29023124366357445,0.5094143297321104
RF,0.7505384984124542,0.6900183141132502
RS,0.1556254844234531,0.6621838532427234
RMD,0.06322919893110673,0.7318750937880986
RECN,0.00582758813141277,0.4129874834940701
ROIC,0.24042592341010838,0.4698285530452092
REXR,0.20999572011134404,0.8642815399463005
ROK,0.518766746980632,0.6728266599446242
RCL,0.45612777063637894,0.588088249047819
RUTH,0.813695129825595,0.6461348832217448
RHP,0.5595383257666405,0.6725955748726087
STBA,0.6555034671421466,0.6142720868718489
SBRA,0.1864122672005627,0.5921926656688999
SAFM,0.5220393664074985,0.6593374761275606
SASR,0.8371262413142211,0.6022694152497573
BFS,0.09117946550882655,0.4379084129358565
SBFG,0.8865147158140245,0.6722842087857591
SWM,0.07063094619301083,0.5350841729901826
SMG,0.4037075092163953,0.6203180691346939
SIGI,0.8961935276387241,0.7478660894858412
SCI,0.6426553810066571,0.6862825090172046
SFBS,0.8964756338626734,0.6860484025579268
SHEN,0.6066484021430367,0.6273584350670682
SCVL,0.08998297376735548,0.6049455137569036
BSRR,0.7435730544882344,0.615508725163209
SIG,0.7951918068801341,0.8886021410756784
SFNC,0.43533870314955925,0.5223366734382681
SPG,0.06395015156993475,0.47178447415557023
SSD,0.2833544063214096,0.7118960626349253
SBGI,0.2816443736959434,0.5990809320537266
SIX,0.35659387576748086,0.5313379104871627
SWKS,0.017148877470622183,0.5972560101186115
SLG,0.23416478280655084,0.4870976092007681
SNA,0.013128307330534173,0.42910064007059384
SOHO,0.27974470316695,0.5497258768479127
SFBC,0.9496499790141505,0.7129645822777069
SSB,0.34385669794651375,0.5197734376851408
SOMC,0.9666473800503629,0.677923792979052
SMBC,0.8804913711344489,0.64531936764288
LUV,0.39145898985600885,0.5518093655764459
SGB,0.00767296064044456,0.7016040741306951
SPTN,0.327663974008475,0.6581272989681423
SRLP,0.12018984110143965,0.5681955375820681
STAG,0.26163011028899225,0.7270386858236697
SMP,0.2808717359334313,0.544749994921416
SXI,0.24563529967580544,0.5069733157111175
SGU,0.962142210341095,0.5977407606581
SBUX,0.1779312587882691,0.6644495410935667
STT,0.5374711191243461,0.6461883954579024
STLD,0.8236539547972688,0.6849561160808612
SCS,0.012654028467508,0.5317868387149353
SYBT,0.8451404058644229,0.6551605250224193
STRT,0.7820454647144451,0.6726329301216544
STBI,0.9232577243490842,0.7893403198277603
INN,0.4295397110004463,0.6467174306534726
STI,0.6003544001340424,0.6798223672769523
SGC,0.10554590679145803,0.5353453939800301
SNX,0.0839948324247784,0.5715777113360581
SNV,0.818607330017837,0.6405943825299599
TCO,0.2234277420567089,0.6403082412330824
AMTD,0.531093595496437,0.6105316468469497
TEL,0.48817692254403816,0.6346410942987523
TEX,0.5072493456728915,0.6411692168362645
TRNO,0.13898586901269255,0.8238980963483118
TBNK,0.8755653657447637,0.5887722683745357
TTEK,0.288952394539428,0.8012646328706465
TXRH,0.747470673501914,0.5988668149209448
TFSL,0.20880109610933784,0.5948624299466139
HCKT,0.5539858360172427,0.5633986813186103
THO,0.7294180916319051,0.7200601532412414
TSBK,0.9057694724790544,0.8019502975813223
TKR,0.10254892957057293,0.6325150229207456
TTC,0.6062962038420875,0.7560499407657059
TOWN,0.9382666912711859,0.6768247103738613
TSCO,0.39901423822517385,0.6387804970658161
TCBK,0.8009039771226494,0.6078378466735047
GLOP,0.45304017345465547,0.6775966816986888
GATX,0.4248928575286879,0.6477285035027676
GNTX,0.08923755665710581,0.6703699605890618
GEO,0.2804779092385653,0.5584930279453121
GABC,0.8117423545285553,0.6437436557692621
GTY,0.777248790828887,0.7446266923681717
GIL,0.16530070021847,0.5137926420000996
GBCI,0.696125302107141,0.6384450513093357
GAIN,0.3897702535470848,0.772711691974016
GS,0.3695985442888854,0.6051228081450155
GT,0.26736162077743403,0.6911804497126649
GSBC,0.5560624708555495,0.601692875285232
GBX,0.34938139719816785,0.6480667487524555
GFF,0.14798218797369794,0.6143924368530079
GPI,0.049368717322910365,0.5785319390612967
GBNK,0.9022611650277532,0.7383375205287107
GFED,0.8584360789405787,0.6535728547623433
HAFC,0.42986901175001546,0.5496889477260424
HOG,0.2606028868077683,0.5279716554507089
HIG,0.5411311674028602,0.6135629251358478
